1	24999
2	25540
3	29559
4	25781
5	29137
6	28837
7	28998
8	31591
9	27756
10	29421
11	27724
12	26427
1	27867
2	26134
3	29654
4	26018
5	31007
6	29287
7	31792
8	33684
9	28852
10	34035
11	29908
12	30375
1	30590
2	29611
3	29131
4	31774
5	30428
6	29626
7	37191
8	33494
9	33754
10	35786
11	29748
12	33692
1	30588
2	30245
3	34368
4	32681
5	31147
6	34014
7	37406
8	34167
9	35942
10	35039
11	30440
12	34601
1	30226
2	30960
3	36996
4	33166
5	31896
6	36988
7	36952
8	36249
9	33688
10	34878
11	33870
12	34844
1	30563
2	30625
3	35836
4	30285
5	30221
6	34449
7	37415
8	40507
9	35955
10	35205
11	35949
12	35785
1	32710
2	34710
3	36440
4	32070
5	37318
6	36469
7	40062
8	41445
9	35508
10	40274
11	36883
12	34821
1	35497
2	32745
3	34344
4	35108
5	36073
6	35389
7	42169
8	39419
9	35146
10	41692
11	35310
12	36401
1	35054
2	33566
3	33853
4	36585
5	37165
6	35836
7	43785
8	38832
9	38431
10	41047
11	34039
12	37553
1	34639
2	33641
3	36656
4	37223
5	35890
6	39398
7	44134
